%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1745400043838035975,5621,1745400043835865231,gyro_link,0.00899876933545,-0.0201140269637,-0.29273378849,-0.955940067768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174838828389,-0.000519338995218,0.000120454496937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.419021070004,-0.0730286240578,9.87092781067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043839520759,5622,1745400043838848089,gyro_link,0.00900289323181,-0.0201193019748,-0.292734652758,-0.955939650536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000134267276735,0.000535794941243,-0.00146782759111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.428402841091,-0.0635771304369,9.85283565521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043851401760,5623,1745400043851070864,gyro_link,0.00900074560195,-0.0201249569654,-0.292738765478,-0.955938339233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00172659964301,0.00159766816068,-0.00202339957468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.434368848801,-0.0683671534061,9.85160923004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043859566288,5624,1745400043858966937,gyro_link,0.00899590272456,-0.0201282203197,-0.292734205723,-0.95593971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145275716204,0.00107515568379,-0.000389770488255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4335488379,-0.0501983948052,9.8885717392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043865386665,5625,1745400043865276447,gyro_link,0.00900492817163,-0.0201292932034,-0.292731404305,-0.955940485001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000930977344979,0.0010684162844,-0.00146037177183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.427486032248,-0.0526425875723,9.88027858734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043875294308,5626,1745400043875199265,gyro_link,0.00900393072516,-0.020124733448,-0.2927326262,-0.955940186977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000382099358831,0.000545904156752,0.000135367212351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.428500115871,-0.0647122189403,9.862408638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043885365724,5627,1745400043885175574,gyro_link,0.00900383945554,-0.0201219320297,-0.292729556561,-0.955941140652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000134267276735,0.000535794941243,-0.00146782759111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.429780483246,-0.0598768182099,9.87073516846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043898606386,5628,1745400043898193410,gyro_link,0.00900220870972,-0.0201214458793,-0.292729526758,-0.955941200256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00226465030573,0.0010684162844,-0.00149284908548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.421544313431,-0.0490330383182,9.88390159607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043905589200,5629,1745400043905357299,gyro_link,0.0090030580759,-0.0201188400388,-0.292728990316,-0.95594137907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00173204671592,0.0010684162844,-0.00148743612226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.435697853565,-0.0646970942616,9.86472606659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043915310226,5630,1745400043915210065,gyro_link,0.00900442712009,-0.0201211255044,-0.2927287817,-0.95594137907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000398337957449,0.000535794941243,-0.00146241462789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.418897926807,-0.0479962714016,9.85881233215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043925497723,5631,1745400043925230216,gyro_link,0.0090024471283,-0.0201184321195,-0.292727649212,-0.955941855907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00281349383295,0.0010785254417,9.95198643068e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42621704936,-0.0455142706633,9.87307262421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043935794191,5632,1745400043935393899,gyro_link,0.00899624917656,-0.0201237183064,-0.292732000351,-0.955940485001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000139645897434,0.0010717860423,-0.00093860301422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.427364736795,-0.0563050992787,9.86834526062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400043945662220,5633,1745400043945312126,gyro_link,0.00899532530457,-0.0201223287731,-0.292731851339,-0.95594060421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00119402864948,0.00106504652649,-0.00201461696997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.436722487211,-0.0516512021422,9.8478937149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
